peptide_name,average_plddt
PPLUZ19_gp10_unrelaxed,77.69667984189732
PPLUZ19_gp11_unrelaxed,88.06475479744124
PPLUZ19_gp12.1_unrelaxed,40.6394760614276
PPLUZ19_gp18_unrelaxed,87.59959862385293
PPLUZ19_gp20_unrelaxed,85.37078406169675
PPLUZ19_gp23_unrelaxed,94.82127067014787
PPLUZ19_gp25.1_unrelaxed,87.81137172774872
PPLUZ19_gp25_unrelaxed,87.63590447154496
PPLUZ19_gp42_unrelaxed,79.10655555555587
PPLUZ19_gp46_unrelaxed,82.78982269503541
PPLUZ19_gp47_unrelaxed,47.01616216216206
PPLUZ19_gp4_unrelaxed,63.369890710382464
