peptide_name,average_plddt
PPYV_gp09,86.52930041152267
PPYV_gp16,68.00274566473992
PPYV_gp19,92.87806907378351
PPYV_gp22,87.36116564417163
PPYV_gp27,90.08636203866436
PPYV_gp31,69.42085137085128
PPYV_gp35,95.4307860824739
PPYV_gp36,68.30031088082902
PPYV_gp37,66.6064450867052
PPYV_gp38,91.15962053571435
PPYV_gp40,88.71176315789495
PPYV_gp47,90.33935727788254
PPYV_gp49,96.21857571214358
PPYV_gp53,77.11373563218396
PPYV_gp59,59.05854497354494
PPYV_gp74,78.63493103448286
PPYV_gp75,85.65798872180457
