Function	Percentage
HNH nuclease domain-containing protein	55.0
HNH endonuclease	30.9
Putative homing endonuclease	2.5
HTH cro/C1-type domain-containing protein	0.9
Endonuclease	0.9
Uncharacterized protein	0.8
Endodeoxyribonuclease	0.7
Helix-turn-helix domain-containing protein	0.5
NUMOD4 domain-containing protein	0.5
AP2/ERF domain-containing protein	0.4
NUMOD4 motif-containing protein	0.4
NUMOD4 motif protein	0.4
AP2 domain-containing protein	0.3
Zinc-binding loop region of homing endonuclease domain-containing protein	0.3
HNH endonuclease domain protein	0.3
Nuclease associated modular domain-containing protein	0.3
Phage protein	0.3
Putative bacteriophage-related protein	0.2
Transposase-like protein	0.2
Putative HNH endonuclease	0.2
Phage-associated homing endonuclease	0.2
p15	0.1
SPbeta phage endodeoxyribonuclease Homing endonuclease responsible for intron mobility	0.1
DNA endonuclease I-HmuI (HNH homing endonuclease I-HmuI)	0.1
ORF069	0.1
Antitoxin component HigA of HigAB toxin-antitoxin module	0.1
Predicted endonuclease	0.1
Helix-turn-helix domain of resolvase family protein	0.1
Myxococcus pahge protein P15	0.1
Putative phage associated protein	0.1
DNA (cytosine-5-)-methyltransferase	0.1
EndY protein	0.1
KilA protein	0.1
Putative Pathogenesis-related transcriptional factor and ERF protein	0.1
AP2 domain protein	0.1
3'-phosphate/5'-hydroxy nucleic acid ligase	0.1
HNH domain protein	0.1
HNH nuclease	0.1
SPbeta prophage-derived putative HNH homing endonuclease YosQ;	0.1
Putative DNA binding, helix-turn-helix domain containing protein	0.1
Phage integrase protein (Modular protein)	0.1
Putative bacteriophage t7-related gene protein (Modular protein)	0.1
Homolog to phage protein T7-7.7	0.1
Phage-related protein	0.1
Putative bacteriophage t7-related gene protein	0.1
Uncharacterized gene 7.7 protein (Modular protein) (Modular protein)	0.1
Conserved hypothetical phage protein	0.1
Sigma-70, region 4	0.1
Pathogenesis-related transcriptional factor and ERF protein	0.1
Tyrosine-type recombinase/integrase	0.1
Uncharacterized gene 7.7 protein (Modular protein)	0.1
Core-binding (CB) domain-containing protein	0.1
Helix-turn-helix	0.1
SPBc2 prophage-derived putative HNH homing endonuclease YosQ (Modular protein)	0.1
EsV-1-119	0.1
