Function	Percentage
Head-tail adaptor protein	34.1
Uncharacterized protein	15.9
Phage head-tail adaptor	8.3
Phage head closure protein	6.0
Phage head-tail joining protein	5.2
Phage head-tail adaptor, putative, SPP1 family	4.5
Phage protein	4.0
Phage head-tail adapter protein	4.0
Head-tail adaptor	3.6
SPP1 family predicted phage head-tail adaptor	2.4
Bacteriophage head-tail adaptor	1.5
Putative phage head-tail adaptor	1.5
Head-to-tail stopper	1.5
Phage tail protein	1.0
Bacteriophage protein	0.8
Putative head-tail joining protein	0.3
Burkholderia phage Bcep781 gp06	0.3
: Phage_H_T_join	0.3
Phage head-tail adaptor, putative	0.3
Head-closure protein	0.2
Head-tail joining protein	0.2
Putative Phage head-tail adaptor	0.2
Glutamate 5-kinase	0.2
Minor capsid protein	0.2
Head decoration protein	0.2
Hypothetical phage protein	0.2
Putative bacteriophage protein	0.2
Portal protein	0.1
Phage Head-Tail Attachment	0.1
PilZ domain-containing protein	0.1
Proteinase inhibitor I42 chagasin domain-containing protein	0.1
NfeD-like C-terminal domain-containing protein	0.1
Phage minor structural protein	0.1
Phage protein Gp138 N-terminal domain-containing protein	0.1
Putative DnaT-like domain-containing protein	0.1
BH3524 protein	0.1
Prophage protein	0.1
Gp9	0.1
Phage-related protein	0.1
Head-tail joining family protein	0.1
Phage-like protein	0.1
Putative head tail connector protein	0.1
Uncultured bacterium genome assembly Metasoil_fosmids_resub	0.1
Uncharacterized phage related protein	0.1
Phage head-tail	0.1
Phage head-tail adaptor protein	0.1
Putative head-tail adaptor	0.1
Alpha-L-rhamnosidase six-hairpin glycosidase domain-containing protein	0.1
Hypothetical conserved protein	0.1
Putative SPP1 family predicted phage head-tail adaptor	0.1
alpha-L-rhamnosidase	0.1
