peptide_name,average_plddt
PPYV_gp01_unrelaxed,94.71169897377459
PPYV_gp03_unrelaxed,95.22233115468406
PPYV_gp20_unrelaxed,91.33919587628888
PPYV_gp24_unrelaxed,96.3727272727272
PPYV_gp25_unrelaxed,95.89903547671855
PPYV_gp28_unrelaxed,63.1583720930232
PPYV_gp30_unrelaxed,89.46112994350251
PPYV_gp34_unrelaxed,72.08858707557515
PPYV_gp45_unrelaxed,94.5926672458733
PPYV_gp46_unrelaxed,95.00140155728612
PPYV_gp48_unrelaxed,86.87824110671912
PPYV_gp61_unrelaxed,91.51132231404945
PPYV_gp64_unrelaxed,75.6525874867443
PPYV_gp65_unrelaxed,90.97723661485298
PPYV_gp68_unrelaxed,90.572383561644
