peptide_name,average_plddt
PAK_P30016,92.9517021276596
PAK_P30029,60.60447251114406
PAK_P30031,78.91112522686032
PAK_P30032,68.2203221809171
PAK_P30033,85.50835633626095
PAK_P30035,59.63308285163751
PAK_P30037,63.488605851979266
PAK_P30038,76.61970238095235
PAK_P30039,49.152376093294386
PAK_P30045,71.07646718146712
PAK_P30048,64.77140579710161
PAK_P30051,64.00933928571438
PAK_P30052,77.93814371257483
PAK_P30054,94.75028089887638
PAK_P30055,79.91603518267938
PAK_P30056,88.51990527740195
PAK_P30058,83.85419203747088
PAK_P30059,49.50853711790394
PAK_P30061,95.5573684210527
PAK_P30063,67.29485061511419
PAK_P30071,74.75428169014087
PAK_P30072,86.38160493827156
PAK_P30073,69.37229483282667
PAK_P30075,80.27621212121228
PAK_P30077,79.17841628959266
PAK_P30080,82.34215613382906
PAK_P30081,77.15881879194639
PAK_P30082,97.41994736842098
PAK_P30083,93.31888698630135
PAK_P30084,65.46078125000028
PAK_P30088,83.15616129032257
PAK_P30089,61.14297058823519
PAK_P30091,47.74260479041903
PAK_P30092,96.43878333333343
PAK_P30093,78.38075445816182
PAK_P30094,60.97059011164274
PAK_P30098,88.14647239263817
PAK_P30101,96.5855172413791
PAK_P30104,93.8568442622951
PAK_P30105,71.27391472868221
PAK_P30107,92.86293069306916
PAK_P30108,76.86457627118666
PAK_P30109,92.27480337078642
PAK_P30110,67.1008695652171
PAK_P30111,76.50474698795183
PAK_P30112,50.658251366120155
PAK_P30123,83.39164310954062
PAK_P30125,79.1646007604564
PAK_P30128,78.14044303797442
PAK_P30129,94.69969253294325
PAK_P30132,86.63959481361428
PAK_P30134,93.686116751269
PAK_P30136,65.65611898017004
PAK_P30137,73.99722891566259
PAK_P30138,46.45843406593395
PAK_P30139,76.32598308668072
PAK_P30141,71.87413793103448
PAK_P30144,78.52913669064738
PAK_P30145,67.64367556468179
PAK_P30146,56.621436619718466
PAK_P30150,50.5619374999999
PAK_P30154,55.52421875000009
PAK_P30157,83.74426934097406
PAK_P30160,47.146547884187015
PAK_P30162,78.55006220839795
PAK_P30163,65.65992949471243
PAK_P30166,83.91663793103419
